PV plant,Center (Cliente),State,Cluster,ID client,ID subclient,ID plant,RPU,End installation date,Days after installation,Commercial operation date,COD Status,Actual 2025,Actual Jan '25 (kWh),Actual Feb '25 (kWh),Actual Mar '25 (kWh),Actual Apr '25 (kWh),Actual May '25 (kWh),Actual Jun '25 (kWh),Actual Jul '25 (kWh),Actual Aug '25 (kWh),Actual Sep '25 (kWh),Actual Oct '25 (kWh),Actual Nov '25 (kWh),Actual Dec '25 (kWh)
"AbInveb, San Pablo",AbInveb,Edo. México,"AbInveb, Edo. México",0,0,",",569071201964,00/01/1900,"46,044",01-may-25,Operating,"217,487.4",,,,,"30,685.7","24,155.9","30,181.5","30,898.0","27,116.0","28,146.4","24,885.9","21,418.0"
AFAMSA,Afamsa,Coahuila,"Afamsa, Coahuila",0,0,",",350720206006,00/01/1900,"46,044",01-jul-24,Operating,"199,799.1","13,563.4","17,791.6","22,004.2","25,323.5","24,370.1","23,474.0","20,564.6","14,367.4","15,940.3","19,830.0","2,570.1",0.0
"Alaflex, Tulancingo",Alaflex,Hidalgo,"Alaflex, Hidalgo",77,1,"77,1",265970501596,29/11/2022,"1,150",07-dic-22,Operating,"741,018.3","48,981.1","57,962.6","71,880.6 ","78,242.2","67,602.3","54,648.9","66,314.8","72,927.2","61,279.1","58,421.7","55,528.3","47,229.4 "
"Alianza, P1 MDM",Alianza,Colima,"Alianza, Colima",91,1,"91,1",186151002150,25/05/2023,973,28-jun-23,Operating,"267,504.8","22,500.0","19,369.0","36,036.0 ","30,930.0","21,081.0","25,601.7","20,974.2","20,973.1","18,401.0","16,559.1","15,106.6","19,973.1"
Arteche,Arteche,Hidalgo,"Arteche, Hidalgo",0,0,0,274090401401,15/02/2024,707,16-may-24,Operating,"385,846.0","24,147.3","26,286.0","36,750.7 ","42,624.7","38,847.2","30,437.5","37,501.4","40,508.4","34,765.2","29,416.0","23,672.8","20,888.8"
ASC Steel Coolin,ASC Steel Coolin,Aguascalientes,"ASC Steel Coolin, Aguascalientes",0,0,0,096130404615,15/03/2024,678,10-may-24,Operating,"753,536.8","44,573.0","51,206.3","68,732.6","66,617.5","76,425.5","65,852.1","73,433.0","71,592.8","65,178.4","62,593.3","55,918.8","51,413.7"
Buehler Edificio 22,Buehler,Chihuahua,"Buehler, Chihuahua",0,0,",",585860201672,00/01/1900,"46,044",16-oct-24,Operating,"797,478.9","43,815.0","53,893.3","77,820.2","83,557.6","85,996.3","77,176.6","80,165.8","79,051.9","60,035.8","66,295.7","51,136.5","38,534.4"
Buehler Edificio 23,Buehler,Chihuahua,"Buehler, Chihuahua",0,0,",",585980100918,00/01/1900,"46,044",28-ene-25,Operating,"615,539.5","9,917.8","42,589.8","60,827.4","65,796.8","74,043.9","66,699.4","68,988.5","48,641.9","51,631.1","54,260.4","41,072.0","31,070.6"
"Cinépolis, Ciudad Acuña",Cinepolis,Coahuila,"Cinepolis, Coahuila",0,0,",",359091201621,00/01/1900,"46,044",00-ene-00,Operating,"231,273.0",,,,,,"42,184.0","38,092.0","43,939.0","33,852.0","30,777.0","22,940.0","19,489.0"
"Cinépolis, Ciudad Victoria (Adelitas)",Cinepolis,Tamaulipas,"Cinepolis, Tamaulipas",0,0,",",955070901631,00/01/1900,"46,044",00-ene-00,Operating,"138,496.6",,,,,,"22,056.7","24,899.8","24,396.1","19,678.0","18,594.4","15,844.4","13,027.2"
